id,ra,dec,zfinal,mass_med,sersic,radius_sersic,MAG_BEST,C,A,S,G,M20,M,I,D,G2,Base_flag,Type
207743,149.762035,2.06763,1.0183,10.95,5.919646531,7.2841E-05,20.8156,4.611745,0.040355,-0.002655,0.631824,-2.46909,0.011529,0.023405,0.008543,0.076587,0,ETD
207744,149.76136,2.067637,1.0157,9.84014,3.887268678,1.16414E-05,23.5347,2.984828,0.028419,0,0.546249,-1.740579,0,0,0.08715,1.154641,0,SPH
207746,149.819345,2.047135,1.4547,10.75169,2.395431444,3.77041E-05,21.7692,3.366599,0.017994,0.000323,0.54134,-2.038672,0.00883,0,0.025233,,,ETD
207764,149.78904,2.058489,4.5322,8.85799,3.587773415,6.31618E-05,26.2371,2.62731,-0.142203,0.081014,0.481031,-1.672514,0.089744,0.068397,0.112778,2.023259,0,UNC
207772,149.793398,2.056587,0.9734,9.91243,1.728745308,8.3704E-05,22.1742,2.781249,-0.013865,-0.054236,0.47736,-1.677939,0.028703,0.033557,0.120435,1.983952,0,ETD
207779,149.820874,2.046989,1.1775,8.8821,3.142096279,0.000345597,26.7316,2.164144,-0.076468,0,0.418418,-0.788874,1,0.370634,0.579064,2.030934,8192,IRR
207781,149.748526,2.073343,5.416,8.83174,0.511828667,3.49573E-05,25.9111,2.18114,0.042111,0.088801,0.461129,-1.40019,0.647059,0.480576,0.156671,2.015205,0,UNC
207782,149.809844,2.051038,1.9895,8.79556,2.256667252,6.42423E-05,25.4231,3.178838,-0.31251,-0.247377,0.491195,-1.649453,0.070588,0.066636,0.109211,2.025435,0,ETD
207784,149.778227,2.062635,4.6556,8.95448,4.226799567,4.57549E-05,26.4682,2.398113,0.123144,0,0.491082,-1.661611,0.030303,0,0.037492,2.02714,0,LTD
207787,149.750321,2.072725,2.2018,9.20788,0.72938151,6.07816E-05,24.199,2.243869,0.09492,0.002034,0.497854,-1.372591,1,0.439559,0.04159,2.018101,0,IRR
207793,149.799581,2.054799,1.9252,8.87673,8.399601565,9.00426E-05,24.4151,2.902096,0.223738,0,0.53674,-1.541819,0.028037,0,0.128458,1.857838,0,SPH
207794,149.799669,2.054795,2.7382,9.70004,1.097191902,4.65325E-05,23.9285,2.704307,0.22891,0.019911,0.531208,-1.450815,0.3,0.159531,0.207116,1.963353,0,IRR
